,subject_fn,age,school,sex,sex_bool,cond_C_bool,cond_G_bool,session,child_selected_00,child_result_00,child_selected_01,child_result_01,left_LE_01,mid_LE_01,child_selected_02,child_result_02,left_LE_02,mid_LE_02,child_selected_03,child_result_03,left_LE_03,mid_LE_03,child_selected_04,child_result_04,left_LE_04,mid_LE_04,child_selected_05,child_result_05,left_LE_05,mid_LE_05
228,p028,6.0,A,M,1.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.0613862856840476,0.06123735354496883,1.0,0.0,0.05129823317894569,0.050989291606805265,1.0,0.0,0.050989291606805265,0.05215274981963329,0.0,1.0,0.05215274981963329,0.053206394880245894
235,p122,6.0,B,F,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,2.0,1.0,0.05907118626129933,0.05874714484581581,2.0,0.0,0.031201503215691984,0.03266352873582106,2.0,0.0,0.03266352873582106,0.033511718114217125,0.0,0.0,0.033511718114217125,0.0337522335541554
252,p002,5.0,A,M,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,1.0,0.0,0.06974409788082807,0.07088332298474434,1.0,0.0,0.07088332298474434,0.07064741697066869,0.0,0.0,0.07064741697066869,0.07207980522742638,1.0,0.0,0.07207980522742638,0.07344653056218074
257,p009,7.0,A,M,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.9698818891476362,0.9616521199544271,1.0,0.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.959145766038161,0.9539074041904547,2.0,0.0,0.9539074041904547,0.950863764836238,1.0,0.0,0.950863764836238,0.9470786070212339
262,p130,5.0,B,M,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,1.0,0.0,0.06974409788082807,0.07088332298474434,1.0,0.0,0.07088332298474434,0.07064741697066869,1.0,0.0,0.07064741697066869,0.07207980522742638,2.0,0.0,0.07207980522742638,0.07344653056218074
289,p137,4.0,B,M,1.0,1.0,0.0,1,2.0,1.0,0.0,1.0,0.4011278396997696,0.3178064150687976,2.0,1.0,0.10343331557053786,0.07821983557481033,1.0,0.0,0.06350682943295209,0.042312136063208945,2.0,,0.042312136063208945,0.027401010195414226,1.0,,0.027401010195414226,0.02786573996910682
308,p049,7.0,A,F,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.982697022266877,0.9698818891476362,1.0,1.0,0.9698818891476362,0.9616521199544271,1.0,0.0,0.07343728114397098,0.0731184604840401,1.0,0.0,0.0731184604840401,0.07467131125621307,2.0,0.0,0.07467131125621307,0.0760338489825909
325,p044,8.0,A,M,1.0,0.0,0.0,1,1.0,0.0,1.0,1.0,0.9698818891476362,0.9616521199544271,1.0,1.0,0.07343728114397098,0.0731184604840401,1.0,0.0,0.05529104134975336,0.056485530657645985,1.0,0.0,0.056485530657645985,0.057206129416441306,1.0,1.0,0.057206129416441306,0.05820533556815905
340,p108,6.0,B,M,1.0,0.0,0.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.2673568236522185,0.17148072902972883,1.0,0.0,0.17148072902972883,0.07868359639094426,1.0,0.0,0.07868359639094426,0.07984286699539576,0.0,0.0,0.07984286699539576,0.0806266222244654
351,p029,7.0,A,M,1.0,0.0,1.0,1,0.0,0.0,2.0,0.0,0.982697022266877,0.9698818891476362,0.0,0.0,0.9698818891476362,0.9616521199544271,0.0,0.0,0.9698818891476362,0.9616521199544271,1.0,1.0,0.9616521199544271,0.959145766038161,0.0,,0.07169880011142829,0.07328658837538499
