number run,"Condition (left=0, middle=1, actual=2)",round (0-no learning),number of moves,"real 7-puzzle OR ? 7-puzzle (0=real, 1=?)"
14,1,6,13.0,0
15,1,0,115.0,0
15,1,1,151.0,0
15,1,2,137.0,0
15,1,3,13.0,0
15,1,4,13.0,0
15,1,5,13.0,0
15,1,6,13.0,0
16,1,0,146.0,0
16,1,1,13.0,0
16,1,2,114.0,0
16,1,3,126.0,0
16,1,4,13.0,0
16,1,5,13.0,0
16,1,6,13.0,0
17,1,0,110.0,0
17,1,1,96.0,0
17,1,2,13.0,0
17,1,3,175.0,0
17,1,4,13.0,0
17,1,5,13.0,0
17,1,6,13.0,0
18,1,0,127.0,0
18,1,1,37.0,0
18,1,2,122.0,0
18,1,3,13.0,0
18,1,4,13.0,0
18,1,5,13.0,0
18,1,6,13.0,0
19,1,0,59.0,0
19,1,1,264.0,0
19,1,2,13.0,0
19,1,3,163.0,0
19,1,4,13.0,0
19,1,5,13.0,0
19,1,6,13.0,0
20,1,0,82.0,0
20,1,1,78.0,0
20,1,2,13.0,0
20,1,3,13.0,0
20,1,4,13.0,0
20,1,5,13.0,0
20,1,6,13.0,0
21,1,0,135.0,0
21,1,1,61.0,0
21,1,2,107.0,0
21,1,3,13.0,0
21,1,4,13.0,0
21,1,5,13.0,0
21,1,6,13.0,0
22,1,0,192.0,0
22,1,1,205.0,0
22,1,2,13.0,0
22,1,3,13.0,0
22,1,4,13.0,0
22,1,5,13.0,0
22,1,6,13.0,0
23,1,0,137.0,0
23,1,1,65.0,0
23,1,2,26.0,0
23,1,3,13.0,0
23,1,4,13.0,0
23,1,5,13.0,0
23,1,6,13.0,0
24,1,0,208.0,0
24,1,1,175.0,0
24,1,2,13.0,0
24,1,3,13.0,0
24,1,4,13.0,0
24,1,5,13.0,0
24,1,6,13.0,0
25,1,0,102.0,0
25,1,1,170.0,0
25,1,2,13.0,0
25,1,3,13.0,0
25,1,4,13.0,0
25,1,5,13.0,0
25,1,6,13.0,0
26,1,0,111.0,0
26,1,1,79.0,0
26,1,2,13.0,0
26,1,3,13.0,0
26,1,4,13.0,0
26,1,5,13.0,0
26,1,6,13.0,0
27,1,0,58.0,0
27,1,1,49.0,0
27,1,2,57.0,0
27,1,3,13.0,0
27,1,4,13.0,0
27,1,5,13.0,0
27,1,6,13.0,0
28,1,0,145.0,0
28,1,1,140.0,0
28,1,2,13.0,0
28,1,3,13.0,0
28,1,4,13.0,0
28,1,5,13.0,0
28,1,6,13.0,0
29,1,0,219.0,0
29,1,1,104.0,0
29,1,2,208.0,0
29,1,3,13.0,0
29,1,4,13.0,0
29,1,5,13.0,0
29,1,6,13.0,0
0,2,0,106.0,0
0,2,1,112.0,0
0,2,2,13.0,0
0,2,3,138.0,0
0,2,4,13.0,0
0,2,5,13.0,0
0,2,6,13.0,0
1,2,0,125.0,0
1,2,1,122.0,0
1,2,2,13.0,0
1,2,3,98.0,0
1,2,4,13.0,0
1,2,5,13.0,0
1,2,6,13.0,0
2,2,0,48.0,0
2,2,1,15.0,0
2,2,2,14.0,0
2,2,3,57.0,0
2,2,4,13.0,0
2,2,5,13.0,0
2,2,6,13.0,0
3,2,0,121.0,0
3,2,1,76.0,0
3,2,2,164.0,0
3,2,3,156.0,0
3,2,4,13.0,0
3,2,5,13.0,0
3,2,6,13.0,0
4,2,0,94.0,0
4,2,1,74.0,0
4,2,2,139.0,0
4,2,3,124.0,0
4,2,4,13.0,0
4,2,5,135.0,0
4,2,6,13.0,0
5,2,0,69.0,0
5,2,1,89.0,0
5,2,2,111.0,0
5,2,3,96.0,0
5,2,4,13.0,0
5,2,5,215.0,0
5,2,6,13.0,0
6,2,0,168.0,0
6,2,1,143.0,0
6,2,2,66.0,0
6,2,3,51.0,0
6,2,4,13.0,0
6,2,5,94.0,0
6,2,6,13.0,0
7,2,0,98.0,0
7,2,1,87.0,0
7,2,2,15.0,0
7,2,3,138.0,0
7,2,4,13.0,0
7,2,5,13.0,0
7,2,6,13.0,0
8,2,0,138.0,0
8,2,1,77.0,0
8,2,2,65.0,0
8,2,3,163.0,0
8,2,4,13.0,0
8,2,5,13.0,0
8,2,6,13.0,0
9,2,0,93.0,0
9,2,1,101.0,0
9,2,2,13.0,0
9,2,3,72.0,0
9,2,4,13.0,0
9,2,5,13.0,0
9,2,6,13.0,0
10,2,0,39.0,0
10,2,1,13.0,0
10,2,2,13.0,0
10,2,3,132.0,0
10,2,4,13.0,0
10,2,5,13.0,0
10,2,6,13.0,0
11,2,0,107.0,0
11,2,1,195.0,0
11,2,2,147.0,0
11,2,3,136.0,0
11,2,4,13.0,0
11,2,5,13.0,0
11,2,6,13.0,0
12,2,0,86.0,0
12,2,1,166.0,0
12,2,2,84.0,0
12,2,3,110.0,0
12,2,4,13.0,0
12,2,5,13.0,0
12,2,6,13.0,0
13,2,0,182.0,0
13,2,1,82.0,0
13,2,2,141.0,0
13,2,3,13.0,0
13,2,4,13.0,0
13,2,5,13.0,0
13,2,6,13.0,0
14,2,0,49.0,0
14,2,1,75.0,0
14,2,2,13.0,0
14,2,3,60.0,0
14,2,4,13.0,0
14,2,5,13.0,0
14,2,6,13.0,0
15,2,0,135.0,0
15,2,1,125.0,0
15,2,2,151.0,0
15,2,3,75.0,0
15,2,4,13.0,0
15,2,5,13.0,0
15,2,6,13.0,0
16,2,0,181.0,0
16,2,1,128.0,0
16,2,2,134.0,0
16,2,3,85.0,0
16,2,4,13.0,0
16,2,5,13.0,0
16,2,6,13.0,0
17,2,0,93.0,0
17,2,1,90.0,0
17,2,2,13.0,0
17,2,3,17.0,0
17,2,4,13.0,0
17,2,5,13.0,0
17,2,6,13.0,0
18,2,0,147.0,0
18,2,1,61.0,0
18,2,2,13.0,0
18,2,3,118.0,0
18,2,4,13.0,0
18,2,5,96.0,0
18,2,6,13.0,0
19,2,0,70.0,0
19,2,1,124.0,0
19,2,2,13.0,0
19,2,3,127.0,0
19,2,4,13.0,0
19,2,5,13.0,0
19,2,6,13.0,0
20,2,0,66.0,0
20,2,1,89.0,0
20,2,2,57.0,0
20,2,3,101.0,0
20,2,4,13.0,0
20,2,5,13.0,0
20,2,6,13.0,0
21,2,0,74.0,0
21,2,1,95.0,0
21,2,2,13.0,0
21,2,3,225.0,0
21,2,4,13.0,0
21,2,5,13.0,0
21,2,6,13.0,0
22,2,0,162.0,0
22,2,1,111.0,0
22,2,2,80.0,0
22,2,3,51.0,0
22,2,4,13.0,0
22,2,5,13.0,0
22,2,6,13.0,0
23,2,0,103.0,0
23,2,1,135.0,0
23,2,2,125.0,0
23,2,3,94.0,0
23,2,4,13.0,0
23,2,5,13.0,0
23,2,6,13.0,0
24,2,0,155.0,0
24,2,1,173.0,0
24,2,2,137.0,0
24,2,3,129.0,0
24,2,4,13.0,0
24,2,5,13.0,0
24,2,6,13.0,0
25,2,0,102.0,0
25,2,1,95.0,0
25,2,2,75.0,0
25,2,3,152.0,0
25,2,4,13.0,0
25,2,5,13.0,0
25,2,6,13.0,0
26,2,0,91.0,0
26,2,1,161.0,0
26,2,2,108.0,0
26,2,3,179.0,0
26,2,4,13.0,0
26,2,5,13.0,0
26,2,6,13.0,0
27,2,0,144.0,0
27,2,1,75.0,0
27,2,2,155.0,0
27,2,3,131.0,0
27,2,4,13.0,0
27,2,5,13.0,0
27,2,6,13.0,0
28,2,0,89.0,0
28,2,1,65.0,0
28,2,2,15.0,0
28,2,3,111.0,0
28,2,4,13.0,0
28,2,5,161.0,0
28,2,6,13.0,0
29,2,0,154.0,0
29,2,1,110.0,0
29,2,2,13.0,0
29,2,3,150.0,0
29,2,4,13.0,0
29,2,5,13.0,0
29,2,6,13.0,0
